Number,Geotechnical type,Typical soils,Unfavourable geology,UCSlower,UCSupper,Permeation,Maximum groundwater level,Burial depth lower,Burial depth upper,Length,Calibre,Open rate
1,卵石为主，局部含漂石及孤石,特殊性土,孤石,50,200,5,,,,3.584,3.76,0.58
2,成都黏土、粗圆砾土、全风化泥岩夹砂岩、强风化泥岩夹砂岩、弱风化泥岩夹砂岩,砂土,没有,0,6.3,5,,6.8,40,4.5,13.8,0.45
3,灰色粉质黏土夹粉土，灰色砂质粉土，灰色黏土，灰色淤泥质黏土，灰色淤泥质粉质黏土，黏质粉土,粉土,没有,0,0,4,12,0,22.58,,11.36,0.51
4,上部为软弱透水的粉细砂层，下部为强风化砾岩、弱胶结砾岩及中等胶结砾岩,砂土,没有,0,24.4,3,,10.49,35.5,3.185,12.1,0.28
5,中密卵石土、漂石土，中砂、细砂,砂土,孤石,53.1,112.4,5,,,,3.266,9.48,0.38
6,卵石为主，粉质黏土层、砾岩,粘性土,没有,15,120,5,0,10,15,1.77863,6.05,0.28
7,粉砂质泥岩、 泥质粉砂岩、粉砂岩,特殊性土,没有,11.8,140,1,,,,,6.05,0.33
8,杂填土、砾砂,碎石土,没有,0,0,5,6,,,0.716,6.46,0.43
11,以卵石、砾岩主，少量泥岩,特殊性土,没有,15,150,5,,20,23,0.3051,,0.69
12,强风化安山岩、中等风化安山岩、微风化安山岩、含卵石粗砾砂,特殊性土,没有,11.62,85.04,5,,,,3.036,5.9,0.33
13,粉质黏土、 中粗砂、卵石土、强风化花岗岩、中风化花岗岩和微风化花岗岩,粘性土,没有,20,100,4,0.3,7,17.2,1.112,6,0.33
14,强风化粉砂岩、中等风化粉砂岩,特殊性土,没有,15,124,3,5,19.2,22,0.545,6,0.33
18,主要为中、强风化板岩，钙质板岩，白云质灰岩及中风化辉绿岩,特殊性土,段存在大量溶洞和破碎带,18.67,37.9,6,,12.2,24.5,2.3,11.8,0.23
19,主要穿越粉质黏土、黏土及粉细砂,粘性土,没有,0,0,1,,,,3.74,10.5,0.49
20,上覆地层为分化岩层、软岩层、部分砂岩和页岩；穿越地层与下伏地层均以页岩砂岩为主,特殊性土,没有,39.9,108.9,4,,74,81,2.284,3.4,0.18
21,主要含粉质黏土、强风化砂岩、中风化砂岩、强风化泥质砂岩和中风化泥质砂岩,粘性土,没有,1.41,57.7,2,,16.1,24.6,1.893,6.2,0.42
22,基底岩性为早白垩系侵入岩、白垩系下统朝川组泥质粉砂岩，穿越地层上部呈现出典型中硬土特征的全、强风化安山玢岩及强风化泥质粉砂岩，隧道下部断面由中风化上段安山玢岩及中风化泥质粉砂岩构成,特殊性土,没有,1.4,52.9,3,,11,33.9,1.713,6.9,0.41
23,主要为粉砂、粉砂夹淤泥质粉质粘土、淤泥质粉质粘土夹粉砂地层,砂土,有害气体,0,0,2,,8.9,24.95,1.61,14.5,0.43
24,填土层、淤泥层、中粗砂层、淤泥质土、全风化花岗岩,粘性土,没有,14,20,3,,8.86,13.75,3.047,14.5,0.28
25,粉质粘土与粉砂互层、粉细砂、全风化泥质砂质板岩、强风化泥质砂质板岩、中风化泥质砂质板岩、微风化泥质砂质板岩,粘性土,破碎带,30,40,4,,,,3.48,3.6,0.32
26,上部为新近堆积填土和海相沉积淤泥质软土层，中部为河流相沉积黏土层、砂层，下部为山前坡洪积碎石夹黏土层,粘性土,没有,42.7,110.7,2,,6,24,1.757,13,0.31
27,微风化粗粒花岗岩地层、砾质粘性土地层和上软（砾质粘性土地层）下硬（中等风化、微风化粗粒花岗岩地层）、差异风化花岗岩等软硬不均地层,粘性土,没有,47.3,108,4,,,,5.447,6.7,0.33
28,主要是粉土层、粉质粘土层、淤泥质粉质粘土层及粉砂层,粘性土,没有,0,0,1,0.5,0.9,4.8,0.81,6.2,0.4
29,淤泥质粉质粘土、粉质粘土、粉砂、粉土,粘性土,没有,0,0,1,,8,14.8,2.274,6.2,0.34
30,粉质粘土、砂岩、粉砂岩、混合岩,粘性土,没有,0.12,44.6,3,0.7,7.9,26.4,1.048,6,0.28
31,粉质粘土、砂岩、粉砂岩、混合岩,粘性土,没有,0.12,156.5,3,,,,,6,0.28
33,强风化安山岩、中等风化安山岩,特殊性土,没有,14.2,150,1,,5.8,21.4,2.39,6,0.28
34,主要是淤泥质黏土、黏土、含砂粉质黏土、中等风化晶屑玻屑凝灰岩,粘性土,没有,42.7,110.7,1,,6,24,1.743,6,0.31
36,粉土填土、粉土、粉质粘土、粉细砂、中粗砂,粉土,无,0,0,3,26.78 ,12,16,3.847,8.8,0.6
37,杂填土、粉质粘土、淤泥 、（含泥）粗中砂 、粉质粘土、淤泥、淤泥质土、粉质粘土 、（含砂）粉质粘土 、（含泥）粗砂 、淤泥质土、粉质粘土 、（含泥）粗砂 、（含泥）卵石 、残积砂质粘性土 、全风化花岗岩 、全风化正长斑岩 、强风化花岗岩(砂土状) 、强风化花岗岩(碎块状) 、强风化正长斑岩(砂土状) 、强风化正长斑岩(碎块状) 、中风化花岗岩 、中风化正长斑岩 ,粘性土,无,21.289,82.458,4,,17,35,1.185,6.2,0.3
38,粉质黏土、粉细砂、中粗砂、强风化粉砂质泥岩、中风化粉砂质泥岩、弱胶结砾岩,砂土,无,0.68,8.24,5,29.00 ,,,2.59,15.2,0.29
39,砂质粉土、砂质粉土夹粉砂、粉砂、淤泥质粉质粘土、粉质粘土、圆砾土层,砂土,地震液化、软土震陷,0,0,4,2.77 ,9.4,35.8,2.256,11.36,0.38
